# rank	legacy	wide
4123	e4dfa547f6a7b729ba2efde7ade35d32	e3e522fc26bcc06f1fff4eb8a858e891
4124	e4dfa547f6a7b729ba2efde7ade35d32	e3e522fc26bcc06f1fff4eb8a858e891
4125	e4dfa547f6a7b729ba2efde7ade35d32	e3e522fc26bcc06f1fff4eb8a858e891
4126	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4127	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4128	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4129	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4130	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4131	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4132	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4133	afe5c72450a9e60da2f08b720a54546a	12f6d9cc5bd4eeb361f1cc3f9800b969
4134	afe5c72450a9e60da2f08b720a54546a	12f6d9cc5bd4eeb361f1cc3f9800b969
4135	afe5c72450a9e60da2f08b720a54546a	12f6d9cc5bd4eeb361f1cc3f9800b969
4136	24fc79f9d04704c7854588106604eacc	6bb92294e3921191be1b8534f9229347
4137	24fc79f9d04704c7854588106604eacc	6bb92294e3921191be1b8534f9229347
4138	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4139	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4140	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4141	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4142	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4143	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4144	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4145	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4146	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4147	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4148	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4149	7cd85b5dd92586ebfd0dce54182a5fbd	bb6b4ecb7ad3019d1d097b10cb2747d2
4150	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4151	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4152	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4153	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4154	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4155	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4156	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4157	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4158	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4159	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4160	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4161	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4162	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4163	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4164	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4165	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4166	f64539807ee3ad37818c948787a08f84	43c8cebccd8c33c13be9da374e8e89df
4167	a3d4418a8275288f04e9f2213b7ed569	7b7b433e0bc2690130acc891f61984de
4168	a3d4418a8275288f04e9f2213b7ed569	7b7b433e0bc2690130acc891f61984de
4169	a3d4418a8275288f04e9f2213b7ed569	7b7b433e0bc2690130acc891f61984de
4170	a3d4418a8275288f04e9f2213b7ed569	7b7b433e0bc2690130acc891f61984de
4171	a3d4418a8275288f04e9f2213b7ed569	7b7b433e0bc2690130acc891f61984de
4172	a3d4418a8275288f04e9f2213b7ed569	7b7b433e0bc2690130acc891f61984de
4173	a3d4418a8275288f04e9f2213b7ed569	7b7b433e0bc2690130acc891f61984de
4174	630e6d24242fbe440b1607e059553f8e	a3939e1526a5a0e0a49e3e4f518ae045
4175	630e6d24242fbe440b1607e059553f8e	a3939e1526a5a0e0a49e3e4f518ae045
4176	630e6d24242fbe440b1607e059553f8e	a3939e1526a5a0e0a49e3e4f518ae045
4177	0b3b65135e0c4b0e614feaafd04ef458	ac721ac8c357fa360c8b7be6c148052b
4178	0b3b65135e0c4b0e614feaafd04ef458	ac721ac8c357fa360c8b7be6c148052b
4179	a81c7285ce2ebe85368a9c5933d9d759	98e84901e82aaef3b89240c0520f400e
4180	a81c7285ce2ebe85368a9c5933d9d759	98e84901e82aaef3b89240c0520f400e
4181	a81c7285ce2ebe85368a9c5933d9d759	98e84901e82aaef3b89240c0520f400e
4182	a81c7285ce2ebe85368a9c5933d9d759	98e84901e82aaef3b89240c0520f400e
4183	a81c7285ce2ebe85368a9c5933d9d759	98e84901e82aaef3b89240c0520f400e
4184	a81c7285ce2ebe85368a9c5933d9d759	98e84901e82aaef3b89240c0520f400e
4185	a81c7285ce2ebe85368a9c5933d9d759	98e84901e82aaef3b89240c0520f400e
4186	7d3aedf9b05c4fce834601bedd2547e0	3afbf73133713fd6547f8be4eb04b113
4187	a6433c700409d1469050214f9a33957c	eef3c39d9511f6ae7318b8c374f713cf
4188	a6433c700409d1469050214f9a33957c	eef3c39d9511f6ae7318b8c374f713cf
4189	7d3aedf9b05c4fce834601bedd2547e0	3afbf73133713fd6547f8be4eb04b113
4190	7d3aedf9b05c4fce834601bedd2547e0	3afbf73133713fd6547f8be4eb04b113
4191	4fec005909062b13696dbdb3ac90d966	4d5bb135e00e91ed145953b36fb2d935
4192	4fec005909062b13696dbdb3ac90d966	4d5bb135e00e91ed145953b36fb2d935
4193	4fec005909062b13696dbdb3ac90d966	4d5bb135e00e91ed145953b36fb2d935
4194	4fec005909062b13696dbdb3ac90d966	4d5bb135e00e91ed145953b36fb2d935
4195	4fec005909062b13696dbdb3ac90d966	4d5bb135e00e91ed145953b36fb2d935
4196	a8204a2ffd249dc11774a48398c1826b	5a270b9860c2a69f5aa04e81dab1a3a4
4197	a8204a2ffd249dc11774a48398c1826b	5a270b9860c2a69f5aa04e81dab1a3a4
4198	a8204a2ffd249dc11774a48398c1826b	5a270b9860c2a69f5aa04e81dab1a3a4
4199	cee987258d7f41614d5fe39f4f4d8440	97025786d2e67fe7df59ed676417c44b
4200	cee987258d7f41614d5fe39f4f4d8440	97025786d2e67fe7df59ed676417c44b
4201	0e2757f57d5dcd10bc1a7bd2e07e0e00	0ec85eb9f537e62c8c69439a414429d3
4202	0e2757f57d5dcd10bc1a7bd2e07e0e00	0ec85eb9f537e62c8c69439a414429d3
4203	28e803ba93be8375afb6ada7958e610a	c557ba1821dca4cbb8d32535fa1ce389
4204	28e803ba93be8375afb6ada7958e610a	c557ba1821dca4cbb8d32535fa1ce389
4205	28e803ba93be8375afb6ada7958e610a	c557ba1821dca4cbb8d32535fa1ce389
4206	28e803ba93be8375afb6ada7958e610a	c557ba1821dca4cbb8d32535fa1ce389
4207	28e803ba93be8375afb6ada7958e610a	c557ba1821dca4cbb8d32535fa1ce389
4208	6fb5414ebd6861756296f3031ebff8b5	95b2e0c28adf31f3d7411ab513f64c2a
4209	6fb5414ebd6861756296f3031ebff8b5	95b2e0c28adf31f3d7411ab513f64c2a
4210	6fb5414ebd6861756296f3031ebff8b5	95b2e0c28adf31f3d7411ab513f64c2a
4211	6fb5414ebd6861756296f3031ebff8b5	95b2e0c28adf31f3d7411ab513f64c2a
4212	6fb5414ebd6861756296f3031ebff8b5	95b2e0c28adf31f3d7411ab513f64c2a
4213	6fb5414ebd6861756296f3031ebff8b5	95b2e0c28adf31f3d7411ab513f64c2a
4214	6fb5414ebd6861756296f3031ebff8b5	95b2e0c28adf31f3d7411ab513f64c2a
4215	c0ad70cf8673565529d1c44c455815ed	f3097bc880239de3ccb20a44e1b92cb2
4216	c0ad70cf8673565529d1c44c455815ed	f3097bc880239de3ccb20a44e1b92cb2
4217	c0ad70cf8673565529d1c44c455815ed	f3097bc880239de3ccb20a44e1b92cb2
4218	348e66e10522cedaad0089f69cb12abb	5444b2ff8829beba782dcf22e7b528dc
4219	c0ad70cf8673565529d1c44c455815ed	f3097bc880239de3ccb20a44e1b92cb2
4220	88da21a9bdc31025bf079832cf4c3ed1	d2e22e6d91831b7397ad02096da08d36
4221	88da21a9bdc31025bf079832cf4c3ed1	d2e22e6d91831b7397ad02096da08d36
4222	88da21a9bdc31025bf079832cf4c3ed1	d2e22e6d91831b7397ad02096da08d36
4223	88da21a9bdc31025bf079832cf4c3ed1	d2e22e6d91831b7397ad02096da08d36
4224	88da21a9bdc31025bf079832cf4c3ed1	d2e22e6d91831b7397ad02096da08d36
4225	88da21a9bdc31025bf079832cf4c3ed1	d2e22e6d91831b7397ad02096da08d36
4226	88da21a9bdc31025bf079832cf4c3ed1	d2e22e6d91831b7397ad02096da08d36
4227	04f7538c1fc0dcf8d9d84fbf6cd3db77	f6e259f4d27cf2cca131fc3091e4b558
4228	04f7538c1fc0dcf8d9d84fbf6cd3db77	f6e259f4d27cf2cca131fc3091e4b558
4229	04f7538c1fc0dcf8d9d84fbf6cd3db77	f6e259f4d27cf2cca131fc3091e4b558
4230	04f7538c1fc0dcf8d9d84fbf6cd3db77	f6e259f4d27cf2cca131fc3091e4b558
4231	04f7538c1fc0dcf8d9d84fbf6cd3db77	f6e259f4d27cf2cca131fc3091e4b558
4232	88884b4499dfc5691f4f173f7118bd5a	86dea904cd98ad0fbc2f94bf08078aa9
4233	88884b4499dfc5691f4f173f7118bd5a	86dea904cd98ad0fbc2f94bf08078aa9
4234	88884b4499dfc5691f4f173f7118bd5a	86dea904cd98ad0fbc2f94bf08078aa9
